"region","scenario","landuse","year","LU_frac"
"Taiwan","Reference_CI_HadGEM","biomass","2075",0.000875747776995
"Taiwan","Reference_CI_HadGEM","biomass","2080",0.0008820721878915
"Taiwan","Reference_CI_HadGEM","biomass","2085",0.000880264405697
"Taiwan","Reference_CI_HadGEM","biomass","2090",0.0008782639798717
"Taiwan","Reference_CI_HadGEM","biomass","2095",0.00088965258553071
"Taiwan","Reference_CI_HadGEM","biomass","2100",0.00091908374775005
"Taiwan","Reference_CI_HadGEM","crops","1990",4.90404994368
"Taiwan","Reference_CI_HadGEM","crops","2005",4.90287046798
"Taiwan","Reference_CI_HadGEM","crops","2010",4.90323243256
"Taiwan","Reference_CI_HadGEM","crops","2015",4.903958433982
"Taiwan","Reference_CI_HadGEM","crops","2020",4.864632363492
"Taiwan","Reference_CI_HadGEM","crops","2025",4.726352981904
"Taiwan","Reference_CI_HadGEM","crops","2030",4.663820156792
"Taiwan","Reference_CI_HadGEM","crops","2035",2.9200343987
"Taiwan","Reference_CI_HadGEM","crops","2040",2.394632922997
"Taiwan","Reference_CI_HadGEM","crops","2045",2.0830048480712
"Taiwan","Reference_CI_HadGEM","crops","2050",1.8675016297028
"Taiwan","Reference_CI_HadGEM","crops","2055",1.73357457994803
"Taiwan","Reference_CI_HadGEM","crops","2060",1.62961139767981
"Taiwan","Reference_CI_HadGEM","crops","2065",1.55455560508109
"Taiwan","Reference_CI_HadGEM","crops","2070",1.48465794560475
"Taiwan","Reference_CI_HadGEM","crops","2075",1.4155717103318
"Taiwan","Reference_CI_HadGEM","crops","2080",1.3679142671412
"Taiwan","Reference_CI_HadGEM","crops","2085",1.30012093460588
"Taiwan","Reference_CI_HadGEM","crops","2090",1.23338070887428
"Taiwan","Reference_CI_HadGEM","crops","2095",1.15068252132895
"Taiwan","Reference_CI_HadGEM","crops","2100",1.07804549075401
"Taiwan","Reference_CI_HadGEM","forest","1990",19.83360367
"Taiwan","Reference_CI_HadGEM","forest","2005",18.82631389
"Taiwan","Reference_CI_HadGEM","forest","2010",18.68191411
"Taiwan","Reference_CI_HadGEM","forest","2015",18.74980411
"Taiwan","Reference_CI_HadGEM","forest","2020",18.75374064
"Taiwan","Reference_CI_HadGEM","forest","2025",18.90353129
"Taiwan","Reference_CI_HadGEM","forest","2030",18.9185089
"Taiwan","Reference_CI_HadGEM","forest","2035",20.7623367
"Taiwan","Reference_CI_HadGEM","forest","2040",21.2001604
"Taiwan","Reference_CI_HadGEM","forest","2045",21.44355443
"Taiwan","Reference_CI_HadGEM","forest","2050",21.60442027
"Taiwan","Reference_CI_HadGEM","forest","2055",21.70325645
"Taiwan","Reference_CI_HadGEM","forest","2060",21.7782566
"Taiwan","Reference_CI_HadGEM","forest","2065",21.8318007
"Taiwan","Reference_CI_HadGEM","forest","2070",21.8806998
"Taiwan","Reference_CI_HadGEM","forest","2075",21.9281727
"Taiwan","Reference_CI_HadGEM","forest","2080",21.9608892
"Taiwan","Reference_CI_HadGEM","forest","2085",22.0069072
"Taiwan","Reference_CI_HadGEM","forest","2090",22.0523125
"Taiwan","Reference_CI_HadGEM","forest","2095",22.1079155
"Taiwan","Reference_CI_HadGEM","forest","2100",22.1565498
"Taiwan","Reference_CI_HadGEM","grass","1990",2.09322
"Taiwan","Reference_CI_HadGEM","grass","2005",1.867779
"Taiwan","Reference_CI_HadGEM","grass","2010",1.833384
"Taiwan","Reference_CI_HadGEM","grass","2015",1.717378
"Taiwan","Reference_CI_HadGEM","grass","2020",1.717739
"Taiwan","Reference_CI_HadGEM","grass","2025",1.711953
"Taiwan","Reference_CI_HadGEM","grass","2030",1.71318
"Taiwan","Reference_CI_HadGEM","grass","2035",1.753435
"Taiwan","Reference_CI_HadGEM","grass","2040",1.76863
"Taiwan","Reference_CI_HadGEM","grass","2045",1.777874
"Taiwan","Reference_CI_HadGEM","grass","2050",1.784368
"Taiwan","Reference_CI_HadGEM","grass","2055",1.788376
"Taiwan","Reference_CI_HadGEM","grass","2060",1.791499
"Taiwan","Reference_CI_HadGEM","grass","2065",1.793729
"Taiwan","Reference_CI_HadGEM","grass","2070",1.79582
"Taiwan","Reference_CI_HadGEM","grass","2075",1.797912
"Taiwan","Reference_CI_HadGEM","grass","2080",1.799349
"Taiwan","Reference_CI_HadGEM","grass","2085",1.801434
"Taiwan","Reference_CI_HadGEM","grass","2090",1.803482
"Taiwan","Reference_CI_HadGEM","grass","2095",1.806034
"Taiwan","Reference_CI_HadGEM","grass","2100",1.808262
"Taiwan","Reference_CI_HadGEM","naturalOther","1990",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2005",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2010",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2015",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2020",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2025",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2030",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2035",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2040",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2045",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2050",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2055",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2060",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2065",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2070",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2075",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2080",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2085",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2090",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2095",0
"Taiwan","Reference_CI_HadGEM","naturalOther","2100",0
"Taiwan","Reference_CI_HadGEM","pasture","1990",6.855604015
"Taiwan","Reference_CI_HadGEM","pasture","2005",7.717356995
"Taiwan","Reference_CI_HadGEM","pasture","2010",7.715469003
"Taiwan","Reference_CI_HadGEM","pasture","2015",7.715930002
"Taiwan","Reference_CI_HadGEM","pasture","2020",7.748378692
"Taiwan","Reference_CI_HadGEM","pasture","2025",7.743142641
"Taiwan","Reference_CI_HadGEM","pasture","2030",7.788411322
"Taiwan","Reference_CI_HadGEM","pasture","2035",7.649993857
"Taiwan","Reference_CI_HadGEM","pasture","2040",7.722048616
"Taiwan","Reference_CI_HadGEM","pasture","2045",7.780613185
"Taiwan","Reference_CI_HadGEM","pasture","2050",7.828448481
"Taiwan","Reference_CI_HadGEM","pasture","2055",7.859418525
"Taiwan","Reference_CI_HadGEM","pasture","2060",7.88522165
"Taiwan","Reference_CI_HadGEM","pasture","2065",7.9044537942
"Taiwan","Reference_CI_HadGEM","pasture","2070",7.9233605095
"Taiwan","Reference_CI_HadGEM","pasture","2075",7.9428351672
"Taiwan","Reference_CI_HadGEM","pasture","2080",7.9563005706
"Taiwan","Reference_CI_HadGEM","pasture","2085",7.9759515458
"Taiwan","Reference_CI_HadGEM","pasture","2090",7.9951983626
"Taiwan","Reference_CI_HadGEM","pasture","2095",8.019669019
"Taiwan","Reference_CI_HadGEM","pasture","2100",8.0413681707
"Taiwan","Reference_CI_HadGEM","shrubs","1990",0.1407499
"Taiwan","Reference_CI_HadGEM","shrubs","2005",0.057568
"Taiwan","Reference_CI_HadGEM","shrubs","2010",0.0961233
"Taiwan","Reference_CI_HadGEM","shrubs","2015",0.03947545
"Taiwan","Reference_CI_HadGEM","shrubs","2020",0.03948375
"Taiwan","Reference_CI_HadGEM","shrubs","2025",0.0393385
"Taiwan","Reference_CI_HadGEM","shrubs","2030",0.0393666
"Taiwan","Reference_CI_HadGEM","shrubs","2035",0.04019984
"Taiwan","Reference_CI_HadGEM","shrubs","2040",0.04052977
"Taiwan","Reference_CI_HadGEM","shrubs","2045",0.04073213
"Taiwan","Reference_CI_HadGEM","shrubs","2050",0.04087504
"Taiwan","Reference_CI_HadGEM","shrubs","2055",0.04096328
"Taiwan","Reference_CI_HadGEM","shrubs","2060",0.04103219
"Taiwan","Reference_CI_HadGEM","shrubs","2065",0.0410814
"Taiwan","Reference_CI_HadGEM","shrubs","2070",0.04112763
"Taiwan","Reference_CI_HadGEM","shrubs","2075",0.04117403
"Taiwan","Reference_CI_HadGEM","shrubs","2080",0.04120586
"Taiwan","Reference_CI_HadGEM","shrubs","2085",0.0412522
"Taiwan","Reference_CI_HadGEM","shrubs","2090",0.04129769
"Taiwan","Reference_CI_HadGEM","shrubs","2095",0.04135444
"Taiwan","Reference_CI_HadGEM","shrubs","2100",0.041404
"Taiwan","Reference_CI_HadGEM","urban","1990",1.47277
"Taiwan","Reference_CI_HadGEM","urban","2005",1.92812
"Taiwan","Reference_CI_HadGEM","urban","2010",2.06988
"Taiwan","Reference_CI_HadGEM","urban","2015",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2020",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2025",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2030",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2035",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2040",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2045",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2050",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2055",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2060",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2065",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2070",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2075",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2080",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2085",2.17347
